KATEGORİ,KAYNAK,HEDEF / DOLU HABER,LİMİT DURUMU,YÖNTEM,DOLULUK ORANI,DURUM
antalya_news,turizmdays.com,50,Maks 50 Limit,rss,%100,Aktif
antalya_news,turizmgazetesi.com,19,Tüm Dolu Haberler,rss,%100,Aktif
antalya_news,turizmajansi.com,20,Tüm Dolu Haberler,rss,%100,Aktif
antalya_news,turizmguncel.com,18,Tüm Dolu Haberler,rss,%100,Aktif
turkey_tourism,turizmajansi.com,20,Tüm Dolu Haberler,rss,%100,Aktif
turkey_tourism,turizmgazetesi.com,19,Tüm Dolu Haberler,rss,%100,Aktif
turkey_tourism,turizmguncel.com,18,Tüm Dolu Haberler,rss,%100,Aktif
turkey_tourism,tourismtoday.net,13,Tüm Dolu Haberler,rss,%100,Aktif
turkey_tourism,turizmaktuel.com,8,Tüm Dolu Haberler,rss,%100,Aktif
turkey_economy,bloomberght.com,20,Maks 20 Limit,rss/google,%100,Aktif
turkey_economy,ekonomim.com,20,Maks 20 Limit,rss,%100,Aktif
turkey_economy,paraanaliz.com,9,Tüm Dolu Haberler,rss,%100,Aktif
germany_tourism,fvw.de,16,Tüm Dolu Haberler,rss,%100,Aktif
germany_tourism,touristik-aktuell.de,11,Tüm Dolu Haberler,rss,%100,Aktif
germany_economy,handelsblatt.com,20,Maks 20 Limit,rss,%100,Aktif
germany_economy,wiwo.de,20,Maks 20 Limit,rss,%100,Aktif
germany_economy,boersen-zeitung.de,7,Tüm Dolu Haberler,google,%100,Aktif
russia_tourism,tourdom.ru,30,Tüm Dolu Haberler,rss,%100,Aktif
russia_tourism,ratanews.ru,5,Tüm Dolu Haberler,rss,%100,Aktif
russia_tourism,trn-news.ru,4,Tüm Dolu Haberler,rss,%100,Aktif
russia_economy,kommersant.ru,15,Maks 15 Limit,rss,%100,Aktif
russia_economy,vedomosti.ru,15,Maks 15 Limit,rss,%100,Aktif
russia_economy,interfax.ru,15,Maks 15 Limit,rss,%100,Aktif
